source_row,name,city,state,country,type,should_write,written_raw,written_status,drew_one_raw,drew_status,wrote_thank_feb2020,website,instagram,twitter,existing_site_match,existing_site_id,existing_site_path,candidate_site_names
31,"Kodiak Island Brewing Co, LLC",Kodiak,AK,,Taproom,,2019-11-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
32,Arkose Brewery,Palmer,AK,,Taproom,,2019-11-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
33,Bleeding Heart Brewery,Palmer,AK,,Taproom,,2019-11-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
34,Matanuska Brewing Company,Palmer,AK,,Micro,,2019-11-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
35,Seward Brewing,Seward,AK,,Brewpub,,2019-04-20T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
36,Baranof Island Brewing Co,Sitka,AK,,Micro,,2019-11-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
37,Klondike Brewing Company,Skagway,AK,,Brewpub,,2019-11-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
38,Skagway Brewing Co,Skagway,AK,,Brewpub,,2019-11-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
39,Kenai River Brewing Co,Soldotna,AK,,Micro,,2019-11-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
40,St Elias Brewing Co,Soldotna,AK,,Brewpub,,2019-11-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
41,Denali Brewing Company,Talkeetna,AK,,Micro,,2019-11-03T00:00:00,confirmed_date,,not_recorded,,,,,exact,denali-brewing-company,content/breweries/denali-brewing-company.md,
42,Bearpaw River Brewing Co,Wasilla,AK,,Micro,,2019-11-03T00:00:00,confirmed_date,yes,confirmed_yes,yes,,,,unmatched,,,
43,Last Frontier Brewing Company,Wasilla,AK,,Brewpub,,2019-11-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
44,Siluria Brewing Company,Alabaster,AL,,Taproom,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
45,Birmingham District Brewing,Birmingham,AL,,Taproom,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
46,Good People Brewing Co,Birmingham,AL,,Micro,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
47,True Story Brewing Company,Birmingham,AL,,Brewpub,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
48,Avondale Brewing Co,Birmingham,AL,,Micro,,,not_recorded,,not_recorded,,,,,unmatched,,,
49,Back Forty Beer Company - Birmingham,Birmingham,AL,,Micro,,,not_recorded,,not_recorded,,,,,unmatched,,,
50,Cahaba Brewing Co,Birmingham,AL,,Micro,,,not_recorded,,not_recorded,,,,,unmatched,,,
51,Ghost Train Brewing Co,Birmingham,AL,,Micro,,,not_recorded,,not_recorded,,,,,unmatched,,,
52,The Grocery Brewpub,Birmingham,AL,,Brewpub,,,not_recorded,,not_recorded,,,,,unmatched,,,
53,Trim Tab Brewing,Birmingham,AL,,Micro,,,not_recorded,,not_recorded,,,,,unmatched,,,
54,Goat Island Brewing,Cullman,AL,,Micro,,yes,confirmed_yes,,not_recorded,,,,,unmatched,,,
55,Cross-Eyed Owl Brewing Co.,Decatur,AL,,Taproom,,2019-10-26T00:00:00,confirmed_date,yes,confirmed_yes,yes,,,,unmatched,,,
56,Folklore Brewing & Meadery,Dothan,AL,,Micro,,2020-04-11T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
57,Fairhope Brewing Co,Fairhope,AL,,Micro,,,not_recorded,,not_recorded,,,,,unmatched,,,
58,"Singin’ River Brewing Company, LLC",Florence,AL,,Micro,,,not_recorded,,not_recorded,,,,,unmatched,,,
59,Back Forty Beer Co,Gadsden,AL,,Micro,,2020-04-11T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
60,Big Beach Brewing Company,Gulf Shores,AL,,Taproom,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
61,Main Channel Brewing Company,Guntersville,AL,,Taproom,,2020-03-03T00:00:00,confirmed_date,,not_recorded,,,,,unmatched,,,
