page_id,section,title,city,state,zip,type,written,drew_one,source_rows
breweries/allagash-brewing-co,breweries,Allagash Brewing Co,Portland,ME,04103,Regional,2019-11-13,Not recorded,3300
breweries/alloy-brewing-company,breweries,Alloy Brewing Company,Coon Rapids,MN,55433,Taproom,2020-04-11,Not recorded,3731
breweries/alluvial-brewing-company,breweries,Alluvial Brewing Company,Ames,IA,50014,Taproom,2020-02-01,Not recorded,2165
breweries/alma-mader-brewing,breweries,Alma Mader Brewing,Kansas City,MO,64108,Taproom,2020-03-03,Not recorded,3929
breweries/almanac-beer-company,breweries,Almanac Beer Company,Alameda,CA,94501,Micro,2020-04-11,Not recorded,256
breweries/aloha-beer-co,breweries,Aloha Beer Co,Honolulu,HI,96813,Taproom,2020-02-01,Not recorded,2146
breweries/alpha-acid-brewing-co,breweries,Alpha Acid Brewing Co,Belmont,CA,94002,Taproom,2020-03-03,Not recorded,302
breweries/alpha-michigan-brewing-company,breweries,Alpha Michigan Brewing Company,Alpha,MI,49902,Taproom,2020-03-03,Not recorded,3358
breweries/alphabet-city-brewing-co,breweries,Alphabet City Brewing Co,New York,NY,10009,Contract,2020-03-03,Not recorded,5145
breweries/alpine-brewing-co,breweries,Alpine Brewing Co,Oroville,WA,98844,Taproom,2020-03-03,Not recorded,7438
breweries/alt-brew-greenview-brewing-llc,breweries,ALT Brew / Greenview Brewing LLC,Madison,WI,53704,Micro,2020-04-11,Yes,7763
breweries/altitude-chophouse-and-brewery,breweries,Altitude Chophouse and Brewery,Laramie,WY,82070,Brewpub,2020-02-07,Not recorded,7952
breweries/altruist-brewing-company,breweries,Altruist Brewing Company,Sturbridge,MA,01518,Taproom,2020-03-03,Not recorded,3077
breweries/alulu-brew-pub,breweries,ALULU Brew Pub,Chicago,IL,60608,Brewpub,2020-04-11,Not recorded,2388
breweries/alvarado-street-brewery,breweries,Alvarado Street Brewery,Salinas,CA,93901,Micro,2020-03-03,Not recorded,804
breweries/alvarado-street-brewery-and-grill,breweries,Alvarado Street Brewery & Grill,Monterey,CA,93940,Brewpub,2020-02-07,Not recorded,620
breweries/alvarium-beer-company,breweries,Alvarium Beer Company,New Britain,CT,06051,Taproom,2020-04-11,Not recorded,1642
